"GEOID","NAME","B03003_001E","B03003_001M","B03003_003E","B03003_003M","type","pct","moe"
"34021001401","Census Tract 14.01, Mercer County, New Jersey",4058,412,104,77,"trct",0.0256283883686545,1.87956139328493
"34021001402","Census Tract 14.02, Mercer County, New Jersey",2131,352,227,161,"trct",0.106522759267949,7.34738731851528
"34021001500","Census Tract 15, Mercer County, New Jersey",3011,595,460,365,"trct",0.152773165061441,11.7402825172448
"34021001600","Census Tract 16, Mercer County, New Jersey",1206,277,313,152,"trct",0.259535655058043,11.1048068771662
"34021001700","Census Tract 17, Mercer County, New Jersey",3780,467,526,232,"trct",0.139153439153439,5.89187320531902
"34021001800","Census Tract 18, Mercer County, New Jersey",4870,476,1373,486,"trct",0.281930184804928,9.59146985957533
"34021001900","Census Tract 19, Mercer County, New Jersey",1635,298,893,336,"trct",0.546177370030581,17.9784165334443
"34021002000","Census Tract 20, Mercer County, New Jersey",1142,170,247,160,"trct",0.216287215411559,13.6355398167485
"34021002100","Census Tract 21, Mercer County, New Jersey",4999,617,1797,499,"trct",0.359471894378876,8.94177383815874
"34021002200","Census Tract 22, Mercer County, New Jersey",5415,839,1930,644,"trct",0.356417359187442,10.5330293755929
"34021002400","Census Tract 24, Mercer County, New Jersey",1219,627,294,168,"trct",0.241181296144381,6.00383946982821
"34021002500","Census Tract 25, Mercer County, New Jersey",6115,672,1702,302,"trct",0.278331970564186,3.87748771712243
"34021002601","Census Tract 26.01, Mercer County, New Jersey",4362,454,1677,434,"trct",0.384456671251719,9.10945747087824
"34021002602","Census Tract 26.02, Mercer County, New Jersey",4454,287,813,226,"trct",0.182532555006736,4.93588982734693
"34021002701","Census Tract 27.01, Mercer County, New Jersey",4262,364,1107,270,"trct",0.259737212576255,5.93397103792719
"34021002702","Census Tract 27.02, Mercer County, New Jersey",6396,683,1092,678,"trct",0.170731707317073,10.4424143520787
"34021002800","Census Tract 28, Mercer County, New Jersey",7077,616,1919,426,"trct",0.271160096085912,5.53747378017826
"34021002902","Census Tract 29.02, Mercer County, New Jersey",4879,378,789,199,"trct",0.161713465874155,3.88151259757355
"34021002903","Census Tract 29.03, Mercer County, New Jersey",3041,266,393,231,"trct",0.129233804669517,7.51160271428401
"34021002904","Census Tract 29.04, Mercer County, New Jersey",5296,256,157,131,"trct",0.0296450151057402,2.46941064504575
"34021003001","Census Tract 30.01, Mercer County, New Jersey",5969,332,193,139,"trct",0.0323337242419166,2.32174338435408
